size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W36X387,W,387.0 plf,114.0 in ** 2,36 in,39.1 in,39.125 in,12.7 in,12.75 in,1.42 in,1.4375 in,0.75 in,2.56 in,2.5625 in,3.31 in,3.8125 in,1.9375 in,2.48,22.9,26500.0 in ** 4,1610.0 in ** 3,1360.0 in ** 3,15.2 in,882.0 in ** 4,224.0 in ** 3,139.0 in ** 3,2.78 in,172.0 in ** 4,294000.0 in ** 6,116.0 in ** 2,943.0 in ** 4,264.0 in ** 3,799.0 in ** 3,3.44 in,36.5 in,112.0 in,125.0 in,90.9 in,104.0 in,31.5 in,5.5 in
W36X350,W,350.0 plf,103.0 in ** 2,36 in,38.6 in,38.625 in,12.6 in,12.625 in,1.3 in,1.3125 in,0.6875 in,2.32 in,2.3125 in,3.07 in,3.5625 in,1.875 in,2.72,25.0,23600.0 in ** 4,1440.0 in ** 3,1220.0 in ** 3,15.1 in,780.0 in ** 4,199.0 in ** 3,124.0 in ** 3,2.75 in,129.0 in ** 4,257000.0 in ** 6,114.0 in ** 2,835.0 in ** 4,238.0 in ** 3,718.0 in ** 3,3.41 in,36.3 in,111.0 in,124.0 in,89.8 in,102.0 in,31.5 in,5.5 in
W36X318,W,318.0 plf,93.4 in ** 2,36 in,38.2 in,38.25 in,12.4 in,12.375 in,1.18 in,1.1875 in,0.625 in,2.13 in,2.125 in,2.88 in,3.375 in,1.8125 in,2.91,27.5,21200.0 in ** 4,1300.0 in ** 3,1110.0 in ** 3,15.1 in,682.0 in ** 4,176.0 in ** 3,110.0 in ** 3,2.7 in,98.3 in ** 4,222000.0 in ** 6,112.0 in ** 2,738.0 in ** 4,216.0 in ** 3,646.0 in ** 3,3.33 in,36.1 in,110.0 in,122.0 in,88.8 in,101.0 in,31.5 in,5.5 in
W36X286,W,286.0 plf,83.9 in ** 2,36 in,37.8 in,37.75 in,12.3 in,12.25 in,1.06 in,1.0625 in,0.5625 in,1.93 in,1.9375 in,2.68 in,3.125 in,1.75 in,3.19,30.6,18900.0 in ** 4,1160.0 in ** 3,1000.0 in ** 3,15.0 in,602.0 in ** 4,156.0 in ** 3,97.9 in ** 3,2.68 in,72.8 in ** 4,194000.0 in ** 6,110.0 in ** 2,655.0 in ** 4,195.0 in ** 3,578.0 in ** 3,3.29 in,35.9 in,109.0 in,121.0 in,87.9 in,100.0 in,31.5 in,5.5 in
W36X256,W,256.0 plf,75.3 in ** 2,36 in,37.4 in,37.375 in,12.2 in,12.25 in,0.96 in,0.9375 in,0.5 in,1.73 in,1.75 in,2.48 in,2.9375 in,1.6875 in,3.53,33.8,16800.0 in ** 4,1040.0 in ** 3,895.0 in ** 3,14.9 in,528.0 in ** 4,137.0 in ** 3,86.5 in ** 3,2.65 in,52.9 in ** 4,168000.0 in ** 6,109.0 in ** 2,576.0 in ** 4,174.0 in ** 3,516.0 in ** 3,3.24 in,35.7 in,108.0 in,120.0 in,87.0 in,99.2 in,31.5 in,5.5 in
W36X232,W,232.0 plf,68.0 in ** 2,36 in,37.1 in,37.125 in,12.1 in,12.125 in,0.87 in,0.875 in,0.4375 in,1.57 in,1.5625 in,2.32 in,2.8125 in,1.625 in,3.86,37.3,15000.0 in ** 4,936.0 in ** 3,809.0 in ** 3,14.8 in,468.0 in ** 4,122.0 in ** 3,77.2 in ** 3,2.62 in,39.6 in ** 4,148000.0 in ** 6,108.0 in ** 2,512.0 in ** 4,157.0 in ** 3,464.0 in ** 3,3.21 in,35.5 in,108.0 in,120.0 in,86.3 in,98.4 in,31.5 in,5.5 in
W36X210,W,210.0 plf,61.9 in ** 2,36 in,36.7 in,36.75 in,12.2 in,12.125 in,0.83 in,0.8125 in,0.4375 in,1.36 in,1.375 in,2.11 in,2.625 in,1.625 in,4.48,39.1,13200.0 in ** 4,833.0 in ** 3,719.0 in ** 3,14.6 in,411.0 in ** 4,107.0 in ** 3,67.5 in ** 3,2.58 in,28.0 in ** 4,128000.0 in ** 6,108.0 in ** 2,446.0 in ** 4,136.0 in ** 3,412.0 in ** 3,3.18 in,35.3 in,107.0 in,119.0 in,85.6 in,97.8 in,31.5 in,5.5 in
W36X194,W,194.0 plf,57.0 in ** 2,36 in,36.5 in,36.5 in,12.1 in,12.125 in,0.765 in,0.75 in,0.375 in,1.26 in,1.25 in,2.01 in,2.5 in,1.5625 in,4.81,42.4,12100.0 in ** 4,767.0 in ** 3,664.0 in ** 3,14.6 in,375.0 in ** 4,97.7 in ** 3,61.9 in ** 3,2.56 in,22.2 in ** 4,116000.0 in ** 6,107.0 in ** 2,407.0 in ** 4,126.0 in ** 3,379.0 in ** 3,3.15 in,35.2 in,107.0 in,119.0 in,85.1 in,97.2 in,31.5 in,5.5 in
W36X182,W,182.0 plf,53.6 in ** 2,36 in,36.3 in,36.375 in,12.1 in,12.125 in,0.725 in,0.75 in,0.375 in,1.18 in,1.1875 in,1.93 in,2.375 in,1.5625 in,5.12,44.8,11300.0 in ** 4,718.0 in ** 3,623.0 in ** 3,14.5 in,347.0 in ** 4,90.7 in ** 3,57.6 in ** 3,2.55 in,18.5 in ** 4,107000.0 in ** 6,106.0 in ** 2,378.0 in ** 4,118.0 in ** 3,355.0 in ** 3,3.13 in,35.1 in,106.0 in,118.0 in,84.7 in,96.8 in,31.5 in,5.5 in
W36X170,W,170.0 plf,50.0 in ** 2,36 in,36.2 in,36.125 in,12.0 in,12.0 in,0.68 in,0.6875 in,0.375 in,1.1 in,1.125 in,1.85 in,2.375 in,1.5625 in,5.47,47.7,10500.0 in ** 4,668.0 in ** 3,581.0 in ** 3,14.5 in,320.0 in ** 4,83.8 in ** 3,53.2 in ** 3,2.53 in,15.1 in ** 4,98500.0 in ** 6,105.0 in ** 2,349.0 in ** 4,109.0 in ** 3,330.0 in ** 3,3.11 in,35.1 in,106.0 in,118.0 in,84.4 in,96.4 in,31.5 in,5.5 in
W36X160,W,160.0 plf,47.0 in ** 2,36 in,36.0 in,36.0 in,12.0 in,12.0 in,0.65 in,0.625 in,0.3125 in,1.02 in,1.0 in,1.77 in,2.25 in,1.5625 in,5.88,49.9,9760.0 in ** 4,624.0 in ** 3,542.0 in ** 3,14.4 in,295.0 in ** 4,77.3 in ** 3,49.1 in ** 3,2.5 in,12.4 in ** 4,90200.0 in ** 6,105.0 in ** 2,321.0 in ** 4,101.0 in ** 3,308.0 in ** 3,3.09 in,35.0 in,105.0 in,117.0 in,84.0 in,96.0 in,31.5 in,5.5 in
W36X150,W,150.0 plf,44.3 in ** 2,36 in,35.9 in,35.875 in,12.0 in,12.0 in,0.625 in,0.625 in,0.3125 in,0.94 in,0.9375 in,1.69 in,2.1875 in,1.5 in,6.37,51.9,9040.0 in ** 4,581.0 in ** 3,504.0 in ** 3,14.3 in,270.0 in ** 4,70.9 in ** 3,45.1 in ** 3,2.47 in,10.1 in ** 4,82200.0 in ** 6,105.0 in ** 2,294.0 in ** 4,93.1 in ** 3,287.0 in ** 3,3.06 in,35.0 in,105.0 in,117.0 in,83.8 in,95.8 in,31.5 in,5.5 in
W36X135,W,135.0 plf,39.9 in ** 2,36 in,35.6 in,35.5 in,12.0 in,12.0 in,0.6 in,0.625 in,0.3125 in,0.79 in,0.8125 in,1.54 in,2.0625 in,1.5 in,7.56,54.1,7800.0 in ** 4,509.0 in ** 3,439.0 in ** 3,14.0 in,225.0 in ** 4,59.7 in ** 3,37.7 in ** 3,2.38 in,7.0 in ** 4,68100.0 in ** 6,104.0 in ** 2,245.0 in ** 4,77.9 in ** 3,251.0 in ** 3,2.99 in,34.8 in,105.0 in,117.0 in,83.2 in,95.2 in,31.5 in,5.5 in
W33X387,W,387.0 plf,114.0 in ** 2,33 in,36.0 in,36.0 in,16.2 in,16.25 in,1.26 in,1.25 in,0.625 in,2.28 in,2.25 in,3.07 in,3.5625 in,1.8125 in,3.55,23.7,24300.0 in ** 4,1560.0 in ** 3,1350.0 in ** 3,14.6 in,1620.0 in ** 4,312.0 in ** 3,200.0 in ** 3,3.77 in,148.0 in ** 4,459000.0 in ** 6,137.0 in ** 2,1260.0 in ** 4,287.0 in ** 3,778.0 in ** 3,4.49 in,33.7 in,117.0 in,133.0 in,88.2 in,104.0 in,28.875 in,5.5 in
W33X354,W,354.0 plf,104.0 in ** 2,33 in,35.6 in,35.5 in,16.1 in,16.125 in,1.16 in,1.1875 in,0.625 in,2.09 in,2.0625 in,2.88 in,3.375 in,1.8125 in,3.85,25.7,22000.0 in ** 4,1420.0 in ** 3,1240.0 in ** 3,14.5 in,1460.0 in ** 4,282.0 in ** 3,181.0 in ** 3,3.74 in,115.0 in ** 4,408000.0 in ** 6,135.0 in ** 2,1130.0 in ** 4,262.0 in ** 3,707.0 in ** 3,4.44 in,33.5 in,116.0 in,132.0 in,87.3 in,103.0 in,28.875 in,5.5 in
W33X318,W,318.0 plf,93.7 in ** 2,33 in,35.2 in,35.125 in,16.0 in,16.0 in,1.04 in,1.0625 in,0.5625 in,1.89 in,1.875 in,2.68 in,3.1875 in,1.75 in,4.23,28.7,19500.0 in ** 4,1270.0 in ** 3,1110.0 in ** 3,14.5 in,1290.0 in ** 4,250.0 in ** 3,161.0 in ** 3,3.71 in,84.4 in ** 4,357000.0 in ** 6,133.0 in ** 2,1010.0 in ** 4,235.0 in ** 3,632.0 in ** 3,4.4 in,33.3 in,115.0 in,131.0 in,86.4 in,102.0 in,28.875 in,5.5 in
W33X291,W,291.0 plf,85.6 in ** 2,33 in,34.8 in,34.875 in,15.9 in,15.875 in,0.96 in,0.9375 in,0.5 in,1.73 in,1.75 in,2.52 in,2.9375 in,1.6875 in,4.6,31.0,17700.0 in ** 4,1160.0 in ** 3,1020.0 in ** 3,14.4 in,1160.0 in ** 4,226.0 in ** 3,146.0 in ** 3,3.68 in,65.1 in ** 4,319000.0 in ** 6,131.0 in ** 2,904.0 in ** 4,214.0 in ** 3,573.0 in ** 3,4.34 in,33.1 in,114.0 in,130.0 in,85.5 in,101.0 in,28.875 in,5.5 in
W33X263,W,263.0 plf,77.4 in ** 2,33 in,34.5 in,34.5 in,15.8 in,15.75 in,0.87 in,0.875 in,0.4375 in,1.57 in,1.5625 in,2.36 in,2.8125 in,1.625 in,5.03,34.3,15900.0 in ** 4,1040.0 in ** 3,919.0 in ** 3,14.3 in,1040.0 in ** 4,202.0 in ** 3,131.0 in ** 3,3.66 in,48.7 in ** 4,281000.0 in ** 6,130.0 in ** 2,807.0 in ** 4,193.0 in ** 3,515.0 in ** 3,4.31 in,32.9 in,113.0 in,129.0 in,84.8 in,101.0 in,28.875 in,5.5 in
W33X241,W,241.0 plf,71.1 in ** 2,33 in,34.2 in,34.125 in,15.9 in,15.875 in,0.83 in,0.8125 in,0.4375 in,1.4 in,1.375 in,2.19 in,2.6875 in,1.625 in,5.66,35.9,14200.0 in ** 4,940.0 in ** 3,831.0 in ** 3,14.1 in,933.0 in ** 4,182.0 in ** 3,118.0 in ** 3,3.62 in,36.2 in ** 4,251000.0 in ** 6,130.0 in ** 2,726.0 in ** 4,173.0 in ** 3,467.0 in ** 3,4.29 in,32.8 in,113.0 in,129.0 in,84.3 in,100.0 in,28.875 in,5.5 in
W33X221,W,221.0 plf,65.3 in ** 2,33 in,33.9 in,33.875 in,15.8 in,15.75 in,0.775 in,0.75 in,0.375 in,1.28 in,1.25 in,2.06 in,2.5 in,1.625 in,6.2,38.5,12900.0 in ** 4,857.0 in ** 3,759.0 in ** 3,14.1 in,840.0 in ** 4,164.0 in ** 3,106.0 in ** 3,3.59 in,27.8 in ** 4,224000.0 in ** 6,129.0 in ** 2,647.0 in ** 4,156.0 in ** 3,423.0 in ** 3,4.25 in,32.6 in,112.0 in,128.0 in,83.6 in,99.4 in,28.875 in,5.5 in
W33X201,W,201.0 plf,59.1 in ** 2,33 in,33.7 in,33.625 in,15.7 in,15.75 in,0.715 in,0.6875 in,0.375 in,1.15 in,1.125 in,1.94 in,2.4375 in,1.5625 in,6.85,41.7,11600.0 in ** 4,773.0 in ** 3,686.0 in ** 3,14.0 in,749.0 in ** 4,147.0 in ** 3,95.2 in ** 3,3.56 in,20.8 in ** 4,198000.0 in ** 6,128.0 in ** 2,577.0 in ** 4,140.0 in ** 3,382.0 in ** 3,4.21 in,32.6 in,111.0 in,127.0 in,83.1 in,98.8 in,28.875 in,5.5 in
W33X169,W,169.0 plf,49.5 in ** 2,33 in,33.8 in,33.875 in,11.5 in,11.5 in,0.67 in,0.6875 in,0.375 in,1.22 in,1.25 in,1.92 in,2.4375 in,1.5625 in,4.71,44.7,9290.0 in ** 4,629.0 in ** 3,549.0 in ** 3,13.7 in,310.0 in ** 4,84.4 in ** 3,53.9 in ** 3,2.5 in,17.7 in ** 4,82400.0 in ** 6,93.7 in ** 2,329.0 in ** 4,108.0 in ** 3,311.0 in ** 3,3.03 in,32.6 in,99.5 in,111.0 in,79.1 in,90.6 in,28.875 in,5.5 in
W33X152,W,152.0 plf,44.9 in ** 2,33 in,33.5 in,33.5 in,11.6 in,11.625 in,0.635 in,0.625 in,0.3125 in,1.06 in,1.0625 in,1.76 in,2.3125 in,1.5 in,5.48,47.2,8160.0 in ** 4,559.0 in ** 3,487.0 in ** 3,13.5 in,273.0 in ** 4,73.9 in ** 3,47.2 in ** 3,2.47 in,12.4 in ** 4,71700.0 in ** 6,94.1 in ** 2,289.0 in ** 4,94.3 in ** 3,278.0 in ** 3,3.01 in,32.4 in,99.4 in,111.0 in,78.6 in,90.2 in,28.875 in,5.5 in
W33X141,W,141.0 plf,41.5 in ** 2,33 in,33.3 in,33.25 in,11.5 in,11.5 in,0.605 in,0.625 in,0.3125 in,0.96 in,0.9375 in,1.66 in,2.1875 in,1.5 in,6.01,49.6,7450.0 in ** 4,514.0 in ** 3,448.0 in ** 3,13.4 in,246.0 in ** 4,66.9 in ** 3,42.7 in ** 3,2.43 in,9.7 in ** 4,64400.0 in ** 6,93.0 in ** 2,257.0 in ** 4,84.6 in ** 3,253.0 in ** 3,2.98 in,32.3 in,98.5 in,110.0 in,78.1 in,89.6 in,28.875 in,5.5 in
W33X130,W,130.0 plf,38.3 in ** 2,33 in,33.1 in,33.125 in,11.5 in,11.5 in,0.58 in,0.5625 in,0.3125 in,0.855 in,0.875 in,1.56 in,2.125 in,1.5 in,6.73,51.7,6710.0 in ** 4,467.0 in ** 3,406.0 in ** 3,13.2 in,218.0 in ** 4,59.5 in ** 3,37.9 in ** 3,2.39 in,7.37 in ** 4,56600.0 in ** 6,92.7 in ** 2,228.0 in ** 4,75.3 in ** 3,230.0 in ** 3,2.94 in,32.2 in,98.5 in,110.0 in,77.7 in,89.2 in,28.875 in,5.5 in
W33X118,W,118.0 plf,34.7 in ** 2,33 in,32.9 in,32.875 in,11.5 in,11.5 in,0.55 in,0.5625 in,0.3125 in,0.74 in,0.75 in,1.44 in,2.0 in,1.5 in,7.76,54.5,5900.0 in ** 4,415.0 in ** 3,359.0 in ** 3,13.0 in,187.0 in ** 4,51.3 in ** 3,32.6 in ** 3,2.32 in,5.3 in ** 4,48300.0 in ** 6,92.5 in ** 2,197.0 in ** 4,65.1 in ** 3,205.0 in ** 3,2.89 in,32.2 in,97.5 in,109.0 in,77.3 in,88.8 in,28.875 in,5.5 in
W30X391,W,391.0 plf,115.0 in ** 2,30 in,33.2 in,33.25 in,15.6 in,15.625 in,1.36 in,1.375 in,0.6875 in,2.44 in,2.4375 in,3.23 in,3.75 in,1.875 in,3.19,19.7,20700.0 in ** 4,1450.0 in ** 3,1250.0 in ** 3,13.4 in,1550.0 in ** 4,310.0 in ** 3,198.0 in ** 3,3.67 in,173.0 in ** 4,366000.0 in ** 6,120.0 in ** 2,1140.0 in ** 4,267.0 in ** 3,722.0 in ** 3,4.37 in,30.8 in,109.0 in,125.0 in,82.0 in,97.6 in,25.75 in,5.5 in
W30X357,W,357.0 plf,105.0 in ** 2,30 in,32.8 in,32.75 in,15.5 in,15.5 in,1.24 in,1.25 in,0.625 in,2.24 in,2.25 in,3.03 in,3.5 in,1.8125 in,3.45,21.6,18700.0 in ** 4,1320.0 in ** 3,1140.0 in ** 3,13.3 in,1390.0 in ** 4,279.0 in ** 3,179.0 in ** 3,3.64 in,134.0 in ** 4,324000.0 in ** 6,118.0 in ** 2,1030.0 in ** 4,244.0 in ** 3,655.0 in ** 3,4.31 in,30.6 in,108.0 in,124.0 in,81.1 in,96.6 in,25.75 in,5.5 in
W30X326,W,326.0 plf,95.9 in ** 2,30 in,32.4 in,32.375 in,15.4 in,15.375 in,1.14 in,1.125 in,0.5625 in,2.05 in,2.0625 in,2.84 in,3.3125 in,1.75 in,3.75,23.4,16800.0 in ** 4,1190.0 in ** 3,1040.0 in ** 3,13.2 in,1240.0 in ** 4,252.0 in ** 3,162.0 in ** 3,3.6 in,103.0 in ** 4,287000.0 in ** 6,117.0 in ** 2,922.0 in ** 4,222.0 in ** 3,593.0 in ** 3,4.26 in,30.4 in,108.0 in,123.0 in,80.2 in,95.6 in,25.75 in,5.5 in
W30X292,W,292.0 plf,86.0 in ** 2,30 in,32.0 in,32.0 in,15.3 in,15.25 in,1.02 in,1.0 in,0.5 in,1.85 in,1.875 in,2.64 in,3.125 in,1.75 in,4.12,26.2,14900.0 in ** 4,1060.0 in ** 3,930.0 in ** 3,13.2 in,1100.0 in ** 4,223.0 in ** 3,144.0 in ** 3,3.58 in,75.2 in ** 4,250000.0 in ** 6,115.0 in ** 2,816.0 in ** 4,199.0 in ** 3,529.0 in ** 3,4.22 in,30.2 in,107.0 in,122.0 in,79.3 in,94.6 in,25.75 in,5.5 in
W30X261,W,261.0 plf,77.0 in ** 2,30 in,31.6 in,31.625 in,15.2 in,15.125 in,0.93 in,0.9375 in,0.5 in,1.65 in,1.625 in,2.44 in,2.9375 in,1.6875 in,4.59,28.7,13100.0 in ** 4,943.0 in ** 3,829.0 in ** 3,13.1 in,959.0 in ** 4,196.0 in ** 3,127.0 in ** 3,3.53 in,54.1 in ** 4,215000.0 in ** 6,114.0 in ** 2,714.0 in ** 4,176.0 in ** 3,469.0 in ** 3,4.16 in,30.0 in,106.0 in,121.0 in,78.4 in,93.6 in,25.75 in,5.5 in
W30X235,W,235.0 plf,69.3 in ** 2,30 in,31.3 in,31.25 in,15.1 in,15.0 in,0.83 in,0.8125 in,0.4375 in,1.5 in,1.5 in,2.29 in,2.75 in,1.625 in,5.02,32.2,11700.0 in ** 4,847.0 in ** 3,748.0 in ** 3,13.0 in,855.0 in ** 4,175.0 in ** 3,114.0 in ** 3,3.51 in,40.3 in ** 4,190000.0 in ** 6,112.0 in ** 2,637.0 in ** 4,159.0 in ** 3,421.0 in ** 3,4.13 in,29.8 in,105.0 in,120.0 in,77.7 in,92.8 in,25.75 in,5.5 in
W30X211,W,211.0 plf,62.3 in ** 2,30 in,30.9 in,31.0 in,15.1 in,15.125 in,0.775 in,0.75 in,0.375 in,1.32 in,1.3125 in,2.1 in,2.5625 in,1.625 in,5.74,34.5,10300.0 in ** 4,751.0 in ** 3,665.0 in ** 3,12.9 in,757.0 in ** 4,155.0 in ** 3,100.0 in ** 3,3.49 in,28.4 in ** 4,166000.0 in ** 6,112.0 in ** 2,556.0 in ** 4,140.0 in ** 3,372.0 in ** 3,4.11 in,29.6 in,104.0 in,119.0 in,76.9 in,92.0 in,25.75 in,5.5 in
W30X191,W,191.0 plf,56.1 in ** 2,30 in,30.7 in,30.625 in,15.0 in,15.0 in,0.71 in,0.6875 in,0.375 in,1.19 in,1.1875 in,1.97 in,2.5 in,1.5625 in,6.35,37.7,9200.0 in ** 4,675.0 in ** 3,600.0 in ** 3,12.8 in,673.0 in ** 4,138.0 in ** 3,89.5 in ** 3,3.46 in,21.0 in ** 4,146000.0 in ** 6,111.0 in ** 2,494.0 in ** 4,125.0 in ** 3,335.0 in ** 3,4.06 in,29.5 in,104.0 in,119.0 in,76.4 in,91.4 in,25.75 in,5.5 in
W30X173,W,173.0 plf,50.9 in ** 2,30 in,30.4 in,30.5 in,15.0 in,15.0 in,0.655 in,0.625 in,0.3125 in,1.07 in,1.0625 in,1.85 in,2.3125 in,1.5625 in,7.04,40.8,8230.0 in ** 4,607.0 in ** 3,541.0 in ** 3,12.7 in,598.0 in ** 4,123.0 in ** 3,79.8 in ** 3,3.42 in,15.6 in ** 4,129000.0 in ** 6,110.0 in ** 2,441.0 in ** 4,113.0 in ** 3,301.0 in ** 3,4.03 in,29.3 in,103.0 in,118.0 in,75.8 in,90.8 in,25.75 in,5.5 in
W30X148,W,148.0 plf,43.6 in ** 2,30 in,30.7 in,30.625 in,10.5 in,10.5 in,0.65 in,0.625 in,0.3125 in,1.18 in,1.1875 in,1.83 in,2.5 in,1.5625 in,4.44,41.6,6680.0 in ** 4,500.0 in ** 3,436.0 in ** 3,12.4 in,227.0 in ** 4,68.0 in ** 3,43.3 in ** 3,2.28 in,14.5 in ** 4,49400.0 in ** 6,77.5 in ** 2,240.0 in ** 4,85.8 in ** 3,248.0 in ** 3,2.77 in,29.5 in,90.5 in,101.0 in,71.9 in,82.4 in,25.75 in,5.5 in
W30X132,W,132.0 plf,38.8 in ** 2,30 in,30.3 in,30.25 in,10.5 in,10.5 in,0.615 in,0.625 in,0.3125 in,1.0 in,1.0 in,1.65 in,2.25 in,1.5 in,5.27,43.9,5770.0 in ** 4,437.0 in ** 3,380.0 in ** 3,12.2 in,196.0 in ** 4,58.4 in ** 3,37.2 in ** 3,2.25 in,9.72 in ** 4,42100.0 in ** 6,76.9 in ** 2,202.0 in ** 4,72.4 in ** 3,215.0 in ** 3,2.75 in,29.3 in,89.5 in,100.0 in,71.1 in,81.6 in,25.75 in,5.5 in
W30X124,W,124.0 plf,36.5 in ** 2,30 in,30.2 in,30.125 in,10.5 in,10.5 in,0.585 in,0.5625 in,0.3125 in,0.93 in,0.9375 in,1.58 in,2.25 in,1.5 in,5.65,46.2,5360.0 in ** 4,408.0 in ** 3,355.0 in ** 3,12.1 in,181.0 in ** 4,54.0 in ** 3,34.4 in ** 3,2.23 in,7.99 in ** 4,38600.0 in ** 6,76.8 in ** 2,188.0 in ** 4,67.5 in ** 3,202.0 in ** 3,2.73 in,29.3 in,89.5 in,100.0 in,70.9 in,81.4 in,25.75 in,5.5 in
W30X116,W,116.0 plf,34.2 in ** 2,30 in,30.0 in,30.0 in,10.5 in,10.5 in,0.565 in,0.5625 in,0.3125 in,0.85 in,0.875 in,1.5 in,2.125 in,1.5 in,6.17,47.8,4930.0 in ** 4,378.0 in ** 3,329.0 in ** 3,12.0 in,164.0 in ** 4,49.2 in ** 3,31.3 in ** 3,2.19 in,6.43 in ** 4,34900.0 in ** 6,76.5 in ** 2,171.0 in ** 4,61.5 in ** 3,187.0 in ** 3,2.7 in,29.2 in,89.3 in,100.0 in,70.5 in,81.0 in,25.75 in,5.5 in
W30X108,W,108.0 plf,31.7 in ** 2,30 in,29.8 in,29.875 in,10.5 in,10.5 in,0.545 in,0.5625 in,0.3125 in,0.76 in,0.75 in,1.41 in,2.0 in,1.5 in,6.89,49.6,4470.0 in ** 4,346.0 in ** 3,299.0 in ** 3,11.9 in,146.0 in ** 4,43.9 in ** 3,27.9 in ** 3,2.15 in,4.99 in ** 4,30900.0 in ** 6,76.2 in ** 2,152.0 in ** 4,54.9 in ** 3,170.0 in ** 3,2.67 in,29.0 in,88.9 in,99.4 in,70.1 in,80.6 in,25.75 in,5.5 in
W30X99,W,99.0 plf,29.0 in ** 2,30 in,29.7 in,29.625 in,10.5 in,10.5 in,0.52 in,0.5 in,0.25 in,0.67 in,0.6875 in,1.32 in,2.0 in,1.5 in,7.8,51.9,3990.0 in ** 4,312.0 in ** 3,269.0 in ** 3,11.7 in,128.0 in ** 4,38.6 in ** 3,24.5 in ** 3,2.1 in,3.77 in ** 4,26800.0 in ** 6,76.2 in ** 2,134.0 in ** 4,48.5 in ** 3,154.0 in ** 3,2.62 in,29.0 in,88.7 in,99.2 in,69.9 in,80.4 in,25.75 in,5.5 in
W30X90,W,90.0 plf,26.3 in ** 2,30 in,29.5 in,29.5 in,10.4 in,10.375 in,0.47 in,0.5 in,0.25 in,0.61 in,0.625 in,1.26 in,1.875 in,1.4375 in,8.52,57.5,3610.0 in ** 4,283.0 in ** 3,245.0 in ** 3,11.7 in,115.0 in ** 4,34.7 in ** 3,22.1 in ** 3,2.09 in,2.84 in ** 4,24000.0 in ** 6,75.1 in ** 2,119.0 in ** 4,43.7 in ** 3,139.0 in ** 3,2.6 in,28.9 in,88.1 in,98.5 in,69.4 in,79.8 in,25.75 in,5.5 in
W27X539,W,539.0 plf,159.0 in ** 2,27 in,32.5 in,32.5 in,15.3 in,15.25 in,1.97 in,2.0 in,1.0 in,3.54 in,3.5625 in,4.33 in,4.4375 in,1.8125 in,2.15,12.1,25600.0 in ** 4,1890.0 in ** 3,1570.0 in ** 3,12.7 in,2110.0 in ** 4,437.0 in ** 3,277.0 in ** 3,3.65 in,496.0 in ** 4,443000.0 in ** 6,111.0 in ** 2,1500.0 in ** 4,342.0 in ** 3,943.0 in ** 3,4.41 in,29.0 in,106.0 in,121.0 in,80.3 in,95.6 in,23.0 in,5.5 in
W27X368,W,368.0 plf,109.0 in ** 2,27 in,30.4 in,30.375 in,14.7 in,14.625 in,1.38 in,1.375 in,0.6875 in,2.48 in,2.5 in,3.27 in,3.6875 in,1.875 in,2.96,17.3,16200.0 in ** 4,1240.0 in ** 3,1060.0 in ** 3,12.2 in,1310.0 in ** 4,279.0 in ** 3,179.0 in ** 3,3.48 in,170.0 in ** 4,255000.0 in ** 6,103.0 in ** 2,935.0 in ** 4,231.0 in ** 3,621.0 in ** 3,4.15 in,27.9 in,100.0 in,115.0 in,75.5 in,90.2 in,23.0 in,5.5 in
W27X336,W,336.0 plf,99.2 in ** 2,27 in,30.0 in,30.0 in,14.6 in,14.5 in,1.26 in,1.25 in,0.625 in,2.28 in,2.25 in,3.07 in,3.5 in,1.8125 in,3.19,18.9,14600.0 in ** 4,1130.0 in ** 3,972.0 in ** 3,12.1 in,1180.0 in ** 4,252.0 in ** 3,162.0 in ** 3,3.45 in,131.0 in ** 4,226000.0 in ** 6,101.0 in ** 2,842.0 in ** 4,211.0 in ** 3,563.0 in ** 3,4.1 in,27.7 in,100.0 in,115.0 in,74.6 in,89.2 in,23.0 in,5.5 in
W27X307,W,307.0 plf,90.2 in ** 2,27 in,29.6 in,29.625 in,14.4 in,14.5 in,1.16 in,1.1875 in,0.625 in,2.09 in,2.0625 in,2.88 in,3.3125 in,1.8125 in,3.46,20.6,13100.0 in ** 4,1030.0 in ** 3,887.0 in ** 3,12.0 in,1050.0 in ** 4,227.0 in ** 3,146.0 in ** 3,3.41 in,101.0 in ** 4,199000.0 in ** 6,99.0 in ** 2,745.0 in ** 4,190.0 in ** 3,508.0 in ** 3,4.04 in,27.5 in,98.6 in,113.0 in,73.6 in,88.0 in,23.0 in,5.5 in
W27X281,W,281.0 plf,83.1 in ** 2,27 in,29.3 in,29.25 in,14.4 in,14.375 in,1.06 in,1.0625 in,0.5625 in,1.93 in,1.9375 in,2.72 in,3.125 in,1.75 in,3.72,22.5,11900.0 in ** 4,936.0 in ** 3,814.0 in ** 3,12.0 in,953.0 in ** 4,206.0 in ** 3,133.0 in ** 3,3.39 in,79.5 in ** 4,178000.0 in ** 6,98.5 in ** 2,685.0 in ** 4,176.0 in ** 3,466.0 in ** 3,4.0 in,27.4 in,98.6 in,113.0 in,73.0 in,87.4 in,23.0 in,5.5 in
