Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
Pipe4SCH40,Pipe4STD,PIPE,10.8 plf,2.96 in ** 2,4.5 in,4.03 in,0.237 in,0.221 in,20.4,6.82 in ** 4,4.05 in ** 3,3.03 in ** 3,1.51 in,6.82 in ** 4,4.05 in ** 3,3.03 in ** 3,1.51 in,13.6 in ** 4,6.04444444444444 in ** 3
Pipe3-1/2SCH40,Pipe3-1/2STD,PIPE,9.12 plf,2.5 in ** 2,4.0 in,3.55 in,0.226 in,0.211 in,19.0,4.52 in ** 4,3.03 in ** 3,2.26 in ** 3,1.34 in,4.52 in ** 4,3.03 in ** 3,2.26 in ** 3,1.34 in,9.04 in ** 4,4.52 in ** 3
Pipe3SCH40,Pipe3STD,PIPE,7.58 plf,2.07 in ** 2,3.5 in,3.07 in,0.216 in,0.201 in,17.4,2.85 in ** 4,2.19 in ** 3,1.63 in ** 3,1.17 in,2.85 in ** 4,2.19 in ** 3,1.63 in ** 3,1.17 in,5.69 in ** 4,3.25142857142857 in ** 3
Pipe2-1/2SCH40,Pipe2-1/2STD,PIPE,5.8 plf,1.61 in ** 2,2.875 in,2.47 in,0.203 in,0.189 in,15.2,1.45 in ** 4,1.37 in ** 3,1.01 in ** 3,0.952 in,1.45 in ** 4,1.37 in ** 3,1.01 in ** 3,0.952 in,2.89 in ** 4,2.0104347826087 in ** 3
Pipe2SCH40,Pipe2STD,PIPE,3.66 plf,1.02 in ** 2,2.375 in,2.07 in,0.154 in,0.143 in,16.6,0.627 in ** 4,0.713 in ** 3,0.528 in ** 3,0.791 in,0.627 in ** 4,0.713 in ** 3,0.528 in ** 3,0.791 in,1.25 in ** 4,1.05263157894737 in ** 3
Pipe1-1/2SCH40,Pipe1-1/2STD,PIPE,2.72 plf,0.749 in ** 2,1.9 in,1.61 in,0.145 in,0.135 in,14.1,0.293 in ** 4,0.421 in ** 3,0.309 in ** 3,0.626 in,0.293 in ** 4,0.421 in ** 3,0.309 in ** 3,0.626 in,0.586 in ** 4,0.616842105263158 in ** 3
Pipe1-1/4SCH40,Pipe1-1/4STD,PIPE,2.27 plf,0.625 in ** 2,1.66 in,1.38 in,0.14 in,0.13 in,12.8,0.184 in ** 4,0.305 in ** 3,0.222 in ** 3,0.543 in,0.184 in ** 4,0.305 in ** 3,0.222 in ** 3,0.543 in,0.368 in ** 4,0.443373493975904 in ** 3
Pipe1SCH40,Pipe1STD,PIPE,1.68 plf,0.469 in ** 2,1.315 in,1.05 in,0.133 in,0.124 in,10.6,0.083 in ** 4,0.177 in ** 3,0.126 in ** 3,0.423 in,0.083 in ** 4,0.177 in ** 3,0.126 in ** 3,0.423 in,0.166 in ** 4,0.252471482889734 in ** 3
Pipe3/4SCH40,Pipe3/4STD,PIPE,1.13 plf,0.312 in ** 2,1.05 in,0.824 in,0.113 in,0.105 in,10.0,0.035 in ** 4,0.0942 in ** 3,0.0671 in ** 3,0.336 in,0.035 in ** 4,0.0942 in ** 3,0.0671 in ** 3,0.336 in,0.07 in ** 4,0.133333333333333 in ** 3
Pipe1/2SCH40,Pipe1/2STD,PIPE,0.85 plf,0.234 in ** 2,0.84 in,0.622 in,0.109 in,0.101 in,8.32,0.016 in ** 4,0.0555 in ** 3,0.0388 in ** 3,0.264 in,0.016 in ** 4,0.0555 in ** 3,0.0388 in ** 3,0.264 in,0.032 in ** 4,0.0761904761904762 in ** 3
Pipe26SCH20,Pipe26XS,PIPE,136.0 plf,36.1 in ** 2,26.0 in,25.1 in,0.5 in,0.465 in,55.9,2950.0 in ** 4,294.0 in ** 3,227.0 in ** 3,9.03 in,2950.0 in ** 4,294.0 in ** 3,227.0 in ** 3,9.03 in,5900.0 in ** 4,453.846153846154 in ** 3
Pipe24XS,Pipe24XS,PIPE,126.0 plf,33.3 in ** 2,24.0 in,23.1 in,0.5 in,0.465 in,51.6,2310.0 in ** 4,250.0 in ** 3,192.0 in ** 3,8.33 in,2310.0 in ** 4,250.0 in ** 3,192.0 in ** 3,8.33 in,4620.0 in ** 4,385.0 in ** 3
